date,2330,2412,1216,2881,2884,SPY,TLT,GLD
2019-01-02,219.5000,107.0000,68.3000,46.1000,20.1000,6809.3947,2975.6905,3700.6863
2019-01-03,215.5000,107.0000,67.5000,45.8000,20.1000,6703.1291,3035.0110,3765.8245
2019-01-04,208.0000,107.5000,67.9000,45.3000,20.2000,6951.0781,3010.0221,3748.0029
2019-01-07,213.0000,108.0000,70.4000,45.9500,20.3000,6987.7262,2993.3685,3751.2165
2019-01-08,211.0000,107.0000,70.2000,45.7000,20.3000,7057.9605,2987.4402,3743.4885
2019-01-09,215.5000,107.5000,72.1000,47.0500,20.7000,7093.9381,2984.0241,3769.1049
2019-01-10,216.0000,107.0000,70.5000,46.9000,20.9000,7094.7055,2954.7245,3734.1504
2019-01-11,220.5000,107.0000,71.1000,45.9500,21.0000,7113.1622,2972.8204,3748.8822
2019-01-14,218.5000,106.5000,71.3000,45.0000,21.0000,7071.3725,2962.4335,3758.6625
2019-01-15,221.0000,107.0000,72.1000,44.6000,21.1000,7163.5691,2956.2158,3758.0478
2019-01-16,217.5000,107.0000,73.0000,44.0000,21.0000,7179.5040,2958.5960,3769.3393
2019-01-17,220.5000,107.0000,72.9000,44.0500,20.9500,7219.1909,2953.2857,3756.7141
2019-01-18,218.5000,107.0000,72.1000,44.1500,21.2000,7330.0200,2943.7266,3730.6834
2019-01-22,223.0000,107.5000,72.9000,44.2500,21.3500,7242.4826,2968.3809,3749.8900
2019-01-23,220.5000,107.0000,72.5000,44.3000,21.1500,7257.8733,2967.2430,3744.7626
2019-01-24,222.5000,107.0000,72.4000,44.0500,21.1500,7257.2600,2984.8885,3736.5951
2019-01-25,226.0000,107.0000,73.3000,44.0000,21.2000,7322.4634,2972.1332,3793.1797
2019-01-28,229.0000,106.5000,72.5000,44.6000,21.3000,7227.7386,2953.2108,3785.9894
2019-01-29,222.5000,107.0000,72.5000,44.7500,21.2500,7236.9530,2975.9031,3817.0964
2019-01-30,221.0000,107.0000,71.9000,44.5500,21.3500,7349.8463,2973.0136,3838.0830
2019-02-11,228.0000,106.5000,72.5000,44.1500,21.4500,7442.7680,3006.6996,3809.3519
2019-02-12,230.0000,107.0000,73.9000,44.3000,21.6000,7552.4204,3004.5975,3824.4253
2019-02-13,229.0000,106.0000,72.7000,44.6000,21.9000,7556.0831,2984.9883,3798.8091
2019-02-14,227.0000,106.0000,73.0000,44.5000,21.8000,7554.0119,3007.8463,3827.4990
2019-02-15,227.0000,106.5000,72.7000,44.4000,21.5500,7628.6586,3009.5121,3846.4608
2019-02-19,229.0000,106.0000,73.6000,44.8500,21.6000,7641.1158,3016.8653,3904.6406
2019-02-20,234.5000,106.5000,73.4000,45.0500,21.8000,7646.8267,3004.4243,3892.9279
2019-02-21,236.5000,106.5000,74.2000,45.1000,21.8000,7622.8571,2978.8248,3850.5397
2019-02-22,236.5000,107.0000,75.0000,45.0000,21.8500,7671.8604,2997.2546,3865.2745
2019-02-25,238.0000,107.0000,74.4000,45.3000,22.0000,7669.3295,2983.3337,3854.7514
2019-02-26,239.5000,106.5000,74.5000,45.4500,22.0000,7660.8569,2996.9308,3859.7014
2019-02-27,239.0000,107.0000,75.0000,45.5000,22.1000,7662.0493,2964.7148,3834.5917
2019-03-04,235.5000,107.0000,72.5000,45.1500,22.1500,7688.4777,2958.3132,3748.5456
2019-03-05,233.0000,107.0000,72.6000,45.1000,22.1500,7678.2694,2964.5916,3753.6013
2019-03-06,234.0000,107.5000,73.3000,45.1500,22.2000,7629.7843,2974.7055,3749.2363
2019-03-07,234.0000,107.0000,73.1000,45.1000,22.2000,7565.7122,2993.9002,3746.0319
2019-03-08,230.0000,107.5000,71.7000,44.7000,22.1000,7569.6857,3014.1186,3796.6157
2019-03-11,230.5000,107.0000,72.5000,44.5000,22.1000,7675.4804,3003.6377,3776.1159
2019-03-12,235.5000,108.0000,72.5000,45.0000,22.4000,7709.6608,3026.7573,3801.5579
2019-03-13,237.0000,108.0000,71.9000,45.2500,22.4000,7754.4192,3018.6101,3825.0459
2019-03-14,234.5000,107.5000,72.3000,45.2500,22.3500,7751.7138,2997.6793,3781.9795
2019-03-15,239.0000,108.0000,73.3000,45.2500,22.5000,7794.2986,3019.1675,3801.3717
2019-03-18,241.0000,108.0000,73.6000,46.0000,23.1000,7816.4842,3015.0885,3800.5826
2019-03-19,240.5000,108.0000,73.5000,46.9500,23.3000,7787.0384,2996.3220,3795.7855
2019-03-20,242.0000,108.0000,73.6000,47.1500,23.3000,7769.9077,3030.1259,3823.5023
2019-03-21,245.5000,108.0000,73.5000,46.9000,23.3500,7846.1832,3032.3564,3802.5417
